,phrase,label,sentiment,subjectivity,language,count
Alice Phoebe Lou,Alice Phoebe Lou,PERSON,0.17748917748917747,0.49062049062049057,en,1.1
Praskovya Petrovna,Praskovya Petrovna,PERSON,0.8863636363636362,1.8181818181818181,en,1.1
Florian Plettenberg,Florian Plettenberg,PERSON,0.0,0.24621212121212122,en,1.1
Hilary Woods,Hilary Woods,PERSON,0.0,0.0,en,1.1
Dragon Quest,Dragon Quest,PERSON,-0.1212121212121212,0.42424242424242414,en,1.1
Cole Palmer,Cole Palmer,PERSON,0.45454545454545453,0.45454545454545453,en,1.1
Akintunde Salami,Akintunde Salami,PERSON,0.22727272727272727,0.303030303030303,en,1.1
Irrfan Khan,Irrfan Khan,PERSON,0.0,0.0,en,1.1
BJ Freeman,BJ Freeman,PERSON,-0.1212121212121212,1.2045454545454544,en,1.1
Cedquavious Hunter,Cedquavious Hunter,PERSON,-0.1212121212121212,1.2045454545454544,en,1.1
Richard Linklater,Richard Linklater,PERSON,0.10123966942148759,0.8192837465564737,en,1.1
Chris Wright,Chris Wright,PERSON,0.0,0.0,en,1.1
Yi Yao,Yi Yao,PERSON,0.2479338842975206,0.8264462809917354,en,1.1
ETH Zurich,ETH Zurich,PERSON,0.2479338842975206,0.8264462809917354,en,1.1
Brigitte Bardot,Brigitte Bardot,PERSON,-0.5757575757575758,0.7575757575757577,en,1.1
James Baldwin,James Baldwin,PERSON,0.3259543486816214,0.968909878000787,en,1.1
Dick Cheney,Dick Cheney,PERSON,0.36363636363636365,0.36363636363636365,en,1.1
Angel Gomes,Angel Gomes,PERSON,0.45454545454545453,0.45454545454545453,en,1.1
Robert Pattinson,Robert Pattinson,PERSON,0.0,1.3636363636363635,en,1.1
Ric Mixter,Ric Mixter,PERSON,-0.36363636363636365,0.09090909090909091,en,1.1
Boyd Varty,Boyd Varty,PERSON,0.37373737373737376,0.7979797979797979,en,1.1
Cristian Chivu,Cristian Chivu,PERSON,0.7272727272727273,0.5454545454545454,en,1.1
Qudrat Wasefi,Qudrat Wasefi,PERSON,-0.6926406926406926,1.341991341991342,en,1.1
Naema Abdullah,Naema Abdullah,PERSON,-0.16161616161616157,0.7878787878787878,en,1.1
Oksana Katerusha,Oksana Katerusha,PERSON,-0.18181818181818182,0.0,en,1.1
Tony Khan,Tony Khan,PERSON,-0.8636363636363635,1.5511363636363635,en,1.1
Ricky Hatton,Ricky Hatton,PERSON,0.42857142857142855,0.6168831168831168,en,1.1
Cesar Cadenas,Cesar Cadenas,PERSON,0.0,0.0,en,1.1
Laura Pereira,Laura Pereira,PERSON,0.5371900826446281,0.7805325987144168,en,1.1
Betty Schaefer,Betty Schaefer,PERSON,0.033143939393939385,1.337121212121212,en,1.1
Axinella polypoides,Axinella polypoides,PERSON,0.0,0.7272727272727273,en,1.1
Thomas McGuane,Thomas McGuane,PERSON,0.5757575757575756,0.9545454545454545,en,1.1
Hakuo Kikuchi,Hakuo Kikuchi,PERSON,-0.03409090909090909,0.3806818181818182,en,1.1
Norma Desmond,Norma Desmond,PERSON,0.033143939393939385,1.337121212121212,en,1.1
Christian Dior,Christian Dior,PERSON,-0.07575757575757575,0.17316017316017313,en,1.1
Edward Berger,Edward Berger,PERSON,-0.6590909090909092,0.8409090909090908,en,1.1
Malcolm Mistry,Malcolm Mistry,PERSON,0.31055555555555553,0.5744444444444444,en,1.0
Trusco Nakayama,Trusco Nakayama,PERSON,-0.006249999999999999,0.35,en,1.0
Stephen Curry,Stephen Curry,PERSON,0.0,0.0,en,1.0
Buck Moon,Buck Moon,PERSON,0.0,0.0,en,1.0
Korey S,Korey S,PERSON,0.125,0.2833333333333333,en,1.0
Juan ‌Manuel ​Cerundolo,Juan ‌Manuel ​Cerundolo,PERSON,0.025,0.36666666666666664,en,1.0
Marina Ferrari,Marina Ferrari,PERSON,0.35,0.4,en,1.0
Marina Ferra,Marina Ferra,PERSON,-0.125,0.125,en,1.0
Jimmy Butler III,Jimmy Butler III,PERSON,0.225,0.475,en,1.0
Fred Rosen,Fred Rosen,PERSON,0.3181818181818182,0.4772727272727273,en,1.0
El Raval,El Raval,PERSON,0.5,0.5,en,1.0
Jeffrey Donaldson,Jeffrey Donaldson,PERSON,0.35,0.30000000000000004,en,1.0
Valentin Royer,Valentin Royer,PERSON,0.16999999999999998,0.32999999999999996,en,1.0
El Ni,El Ni,PERSON,0.25,0.8500000000000001,en,1.0
Andrew Caballero-Reynolds,Andrew Caballero-Reynolds,PERSON,0.0,0.0,en,1.0
Philippe Vai,Philippe Vai,PERSON,0.2375,0.6375,en,1.0
LAURA WINDSOR,LAURA WINDSOR,PERSON,0.1,0.75,en,1.0
Noah Berger,Noah Berger,PERSON,0.5333333333333333,0.5333333333333333,en,1.0
BARAA ANWER,BARAA ANWER,PERSON,0.2,1.0,en,1.0
Lucie Franc de Ferriere,Lucie Franc de Ferriere,PERSON,0.25,0.8500000000000001,en,1.0
Coco Gauff,Coco Gauff,PERSON,0.06666666666666667,0.25,en,1.0
Michael Canitrot,Michael Canitrot,PERSON,0.09318181818181819,0.4772727272727273,en,1.0
Sunny Ian Dempsey,Sunny Ian Dempsey,PERSON,0.125,0.315,en,1.0
Samuel Clemens,Samuel Clemens,PERSON,0.5,1.0,en,1.0
Sundar Pichai,Sundar Pichai,PERSON,0.0,0.05,en,1.0
Jim Edson,Jim Edson,PERSON,0.0,0.0,en,1.0
Saad N,Saad N,PERSON,0.0,0.25,en,1.0
Aaron Regunbergs,Aaron Regunbergs,PERSON,-0.15833333333333333,0.45555555555555555,en,1.0
Jessica Rinaldi,Jessica Rinaldi,PERSON,0.0,0.0,en,1.0
Azan Awais,Azan Awais,PERSON,0.5,0.8,en,1.0
Micahel Snyder,Micahel Snyder,PERSON,0.26875,0.4875,en,1.0
Tara Narula,Tara Narula,PERSON,0.0,0.0,en,1.0
Carlette Bush,Carlette Bush,PERSON,0.0,0.0,en,1.0
watchthe Pascal Coyon Series,watchthe Pascal Coyon Series,PERSON,0.08333333333333333,0.5499999999999999,en,1.0
Bryan Mansell,Bryan Mansell,PERSON,0.06666666666666667,0.16666666666666666,en,1.0
Brandon Figueroa,Brandon Figueroa,PERSON,0.13,0.47,en,1.0
Babar Azam,Babar Azam,PERSON,0.5,0.8,en,1.0
Ferret Ther,Ferret Ther,PERSON,1.0,0.3,en,1.0
Lionel Messi,Lionel Messi,PERSON,-0.325,0.7999999999999999,en,1.0
Wu J,Wu J,PERSON,0.0,0.25,en,1.0
Twain Town,Twain Town,PERSON,0.5,1.0,en,1.0
Malak al-Zaanin,Malak al-Zaanin,PERSON,0.0,0.0,en,1.0
Mauricio Pochettin,Mauricio Pochettin,PERSON,0.0,0.0,en,1.0
Olivia Dade,Olivia Dade,PERSON,0.5428571428571429,0.7285714285714285,en,1.0
Jose Perez,Jose Perez,PERSON,0.11742424242424243,0.346969696969697,en,1.0
Aoife Kealy,Aoife Kealy,PERSON,0.0,0.0,en,1.0
Sam Tarry,Sam Tarry,PERSON,0.0,0.0,en,1.0
Argentinas Lionel Messi,Argentinas Lionel Messi,PERSON,0.0,0.0,en,1.0
Pearl Patience,Pearl Patience,PERSON,0.125,0.5416666666666666,en,1.0
Christopher Furlong,Christopher Furlong,PERSON,0.0,0.0,en,1.0
Charlie Noble,Charlie Noble,PERSON,0.125,0.45000000000000007,en,1.0
Haya Alhusainan,Haya Alhusainan,PERSON,-0.125,1.0,en,1.0
Bracklinn Falls,Bracklinn Falls,PERSON,0.1,0.4,en,1.0
Steve Clarke,Steve Clarke,PERSON,0.0,0.03333333333333333,en,1.0
Jesse Watters Sparks,Jesse Watters Sparks,PERSON,0.16666666666666666,0.3666666666666667,en,1.0
Jesse Watters,Jesse Watters,PERSON,0.5,0.6,en,1.0
Liu J,Liu J,PERSON,0.0,0.25,en,1.0
Hill M,Hill M,PERSON,0.0,0.25,en,1.0
Olivia Rodrigo,Olivia Rodrigo,PERSON,0.11742424242424243,0.346969696969697,en,1.0
Luka Dončić,Luka Dončić,PERSON,0.0,0.0,en,1.0
Lucy Galvin,Lucy Galvin,PERSON,-0.044444444444444446,0.45555555555555555,en,1.0
Ponguleti Srinivas Reddy,Ponguleti Srinivas Reddy,PERSON,0.0,0.0,en,1.0
Miriam Williams,Miriam Williams,PERSON,0.0,0.06666666666666667,en,1.0
Tina Fey’s,Tina Fey’s,PERSON,-0.04242424242424244,0.5363636363636364,en,1.0
Monisha Rajesh,Monisha Rajesh,PERSON,-0.4,0.7,en,1.0
Erin McDowell,Erin McDowell,PERSON,0.4,0.3,en,1.0
Rebecca Delaney,Rebecca Delaney,PERSON,0.20000000000000004,0.26666666666666666,en,1.0
Simon Jessop,Simon Jessop,PERSON,0.20000000000000004,0.26666666666666666,en,1.0
